school_year,building_id,teacher_count,paid_quantity,order_amount
2017,600030153,1,61,339.95
2017,600030160,5,145,903.25
2017,600030189,4,68,357
2017,600030227,1,88,326.92
2017,600030248,1,20,64.9
2017,600030278,9,215,1314.85
2017,600030281,3,356,1238.8
2017,600030288,3,437,2825.38
2017,600030291,30,1140,3556.8
2017,600030292,1,160,519.2
2017,600030295,20,400,2100
2017,600030296,2,97,363.84
2017,600030297,0,300,2247
2017,600030303,1,40,129.8
2017,600030304,14,260,535.6
2017,600030310,2,76,327
2017,600030316,26,1425,6234.52
2017,600030318,0,610,2867
2017,600030319,1,220,1647.8
2017,600030324,12,306,2208.6
2017,600030325,1,21,157.29
2017,600030327,10,220,1210
2017,600030328,1,52,168.74
2017,600030330,2,45,301.25
2017,600030331,8,210,1542.7
2017,600030337,1,26,85.8
2017,600030350,10,542,1758.79
2017,600030352,1,40,124.8
2017,600030360,24,670,3517.5
2017,600030364,19,429,2478.9
2017,600030383,18,505,2651.25
2017,600030387,1,23,126.5
2017,600030394,1,365,1916.25
2017,600030408,5,828,3110.45
2017,600030411,3,101,353.3
2017,600030412,4,100,785
2017,600030413,7,126,574.2
2017,600030416,13,472,3139.64
2017,600030418,1,40,210
2017,600030419,4,92,500.25
2017,600030436,1,14,45.43
2017,600030456,1,25,137.5
2017,600030474,1,40,279.6
2017,600030482,20,744,2414.28
2017,600030486,2,54,198.51
2017,600030489,1,20,110
2017,600030491,2,72,233.64
2017,600030492,2,40,210
2017,600030499,2,24,113.49
2017,600030504,2,170,551.65
2017,600030505,1,40,220
2017,600030506,2,60,459.4
2017,600030510,1,45,449.55
2017,600030517,4,70,377.5
2017,600030524,17,435,2353
2017,600030535,1,64,207.68
2017,600030540,1,108,594
2017,600030548,3,75,308.55
2017,600030563,3,72,230.14
2017,600030572,12,334,1368.22
2017,600030573,2,129,688.25
2017,600030574,7,164,802.78
2017,600030576,1,120,374.4
2017,600030578,1,13,102.05
2017,600030579,7,374,1401.18
2017,600030584,2,415,1456.95
2017,600030585,3,80,669.45
2017,600030591,1,91,714.35
2017,600030594,1,18,94.5
2017,600030595,3,190,1758.1
2017,600030599,1,26,143
2017,600030601,9,169,929.5
2017,600030603,1,121,635.25
2017,600030605,3,53,193.6
2017,600030607,20,560,3080
2017,600030615,2,119,412.5
2017,600030616,1,42,131.04
2017,600030617,0,12,66
2017,600030626,1,260,1937
2017,600030633,3,50,430.7
2017,600030639,12,257,1349.25
2017,600030646,6,98,539
2017,600030650,1,1320,4283.4
2017,600030651,1,1103,6696.82
2017,600030655,3,60,330
2017,600030666,6,691,2627.29
2017,600030667,1,40,299.6
2017,600030668,2,100,545
2017,600030676,2,25,60.8
2017,600030679,0,280,1314.5
2017,600030683,16,622,2616.55
2017,600030688,0,280,908.6
2017,600030690,3,110,406.56
2017,600030691,2,70,261
2017,600030692,10,264,1480.08
2017,600030694,6,670,3685
2017,600030698,1,13,71.5
2017,600030704,10,415,2772.35
2017,600030705,24,854,2791.28
2017,600030709,1,25,137.5
2017,600030718,1,18,94.5
2017,600030719,5,220,713.9
2017,600030720,1,30,165
2017,600030725,1,22,71.39
2017,600030729,21,473,2601.5
2017,600030730,1,23,75.9
2017,600030733,2,47,227.7
2017,600030737,2,250,1217.9
2017,600030738,2,85,678.65
2017,600030740,10,323,1199.72
2017,600030745,23,690,3470.4
2017,600030749,17,551,2451.52
2017,600030751,1,22,121
2017,600030755,2,120,646
2017,600030759,1,22,121
2017,600030760,4,167,776.66
2017,600030764,14,865,3382.55
2017,600030768,2,475,2612.5
2017,600030772,3,188,631.4
2017,600030779,1,43,236.5
2017,600030793,1,108,350.46
2017,600030796,2,30,158.13
2017,600030799,20,440,2147.55
2017,600030801,12,231,1258
2017,600030804,2,60,177.2
2017,600030805,8,312,1219.9
2017,600030807,15,405,1980.75
2017,600030812,1,170,709.5
2017,600030815,20,440,105
2017,600030816,2,11,88.49
2017,600030817,2,42,209
2017,600030822,1,24,77.88
2017,600030824,3,94,351.08
2017,600030826,8,204,1009.26
2017,600030828,13,315,2390.7
2017,600030830,2,140,368.7
2017,600030831,1,25,187.25
2017,600030834,2,174,980.7
2017,600030835,2,130,579.7
2017,600030838,1,10,44.9
2017,600030842,2,105,463.26
2017,600030843,1,28,154
2017,600030849,2,24,165.9
2017,600030851,11,397,1971.2
2017,600030852,1,40,220
2017,600030853,4,165,834.75
2017,600030873,4,122,493.89
2017,600030876,17,457,2271.75
2017,600030879,3,165,529.19
2017,600030881,1,2,0
2017,600030885,1,135,668.25
2017,600030894,8,306,997.48
2017,600030903,1,40,220
2017,600030912,1,29,152.25
2017,600030920,1,10,0
2017,600030925,3,69,332.7
2017,600030929,3,140,454.3
2017,600030931,7,156,885.4
2017,600030935,11,296,1213.2
2017,600030937,5,107,529.4
2017,600030946,2,40,220
2017,600030948,2,68,220.66
2017,600030954,5,100,550
2017,600030959,1,150,1177.5
2017,600030961,5,240,954.2
2017,600030963,19,368,1932
2017,600030965,1,20,99.8
2017,600030966,0,1380,3118.8
2017,600030973,4,134,1051.9
2017,600030980,2,40,210
2017,600030981,4,200,649
2017,600030987,1,450,2475
2017,600030993,1,630,3307.5
2017,600030995,6,1202,3599.99
2017,600030997,2,100,324.5
2017,600031000,15,688,2096.79
2017,600031001,18,900,2920.5
2017,600031003,1,20,149.8
2017,600031025,3,58,319
2017,600031035,1,40,129.8
2017,600031039,15,460,1953.9
2017,600031044,1,10,74.9
2017,600031055,4,283,1686.29
2017,600031064,10,545,2239.5
2017,600031065,4,212,1046.99
2017,600031066,2,70,429.75
2017,600031072,10,942,6196.9
2017,600031080,1,100,550
2017,600031085,2,66,282.1
2017,600031095,2,200,1100
2017,600031098,1,270,1485
2017,600031107,7,284,953.15
2017,600031109,3,545,1728.1
2017,600031110,8,168,817.9
2017,600031111,17,519,3014.68
2017,600031112,2,43,129
2017,600031115,18,394,2469.9
2017,600031120,6,99,544.5
2017,600031122,23,460,2530
2017,600031123,1,354,1947
2017,600031124,7,588,4058.28
2017,600031127,18,451,3504.35
2017,600031130,17,585,2951.55
2017,600031137,1,5,26.25
2017,600031144,9,255,1372.5
